Relatório Gerencial de Investimentos - Confidencial,,,,,,
Gerado pelo sistema central em: 27/02/2026,,,,,,
,,,,,,
ID-Plataforma,Estado,Coluna_Fantasma,Jan_2026,Fev_2026,Mar_2026,Abr_2026
1481-LinkedIn Ads,Rio,,5387,5673,6896,4186
1482-LinkedIn Ads,São Paulo,,4440,3498,4038,2599
1483-Pinterest Ads,null,,2862,1103,6228,5135
1484-Google Ads,null,,1554,null,2464,2504
1485-TikTok Ads,Rio de Janeiro,,4642,7990,4013,6665
1486-Meta Ads,RJ,,1702,2645,3225,5785
1487-Google Ads,,,6027,2648,3384,3788
1488-Google Ads,null,,4878,893,6792,7452
1489-Meta Ads,Rio de Janeiro,,1340,2614,3520,6337
1490-Google Ads,Rio,,3429,7966,7658,743
1491-Pinterest Ads,Rio de Janeiro,,3826,5729,5738,3928
1492-Google Ads,null,,1909,N/A,3283,1995
1493-TikTok Ads,Rio de Janeiro,,2650,7276,4850,7227
1494-Pinterest Ads,S. Paulo,,527,4410,4140,5405
1495-Pinterest Ads,São Paulo,,1859,4752,1738,6448
1496-Pinterest Ads,null,,2455,2720,7073,557
1497-Google Ads,Minas Gerais,,1145,1090,5523,2337
1498-Meta Ads,Rio,,1283,2188,6067,7808
1499-TikTok Ads,Rio,,2837,7078,N/A,729
1500-LinkedIn Ads,Rio,,6391,6206,7760,7386
