id_lead,data_cadastro,interagiu_chatbot,ai_lead_score,status_assinatura
L-3858,2025-04-16,Sim,Quente,Inativo
L-5732,2025-01-08,Sim,Quente,Ativo
L-7099,2025-02-19,Sim,Quente,Ativo
L-1198,2025-02-08,Sim,Quente,Ativo
L-2695,2025-01-13,Sim,Quente,Ativo
L-6817,2025-08-31,Nao,Frio,Trial
L-8738,2025-11-02,Sim,Quente,Trial
L-5613,2025-11-21,Sim,Morno,Cancelado
L-5339,2025-12-19,Nao,Morno,Ativo
L-4604,2025-04-19,Sim,Morno,Inativo
L-3272,2025-11-21,Nao,Morno,Ativo
L-4759,2025-04-11,Nao,Frio,Ativo
L-9882,2025-09-27,Nao,Morno,Cancelado
L-9943,2025-12-05,Sim,Quente,Cancelado
L-4695,2026-01-16,Sim,Quente,Cancelado
L-6047,2025-07-01,Nao,Quente,Ativo
L-7378,2025-09-30,Sim,Quente,Ativo
L-8464,2025-11-24,Sim,Morno,Inativo
L-2906,2025-03-29,Sim,Morno,Ativo
L-6235,2026-01-09,Nao,Frio,Trial
L-7788,2025-10-18,Nao,Frio,Ativo
L-7000,2026-01-30,Sim,Quente,Cancelado
L-6529,2025-10-18,Sim,Morno,Ativo
L-8856,2026-01-08,Nao,Morno,Inativo
L-9055,2025-12-18,Nao,Morno,Cancelado
L-1593,2026-01-24,Nao,Morno,Inativo
L-5168,2025-05-27,Nao,Quente,Cancelado
L-1279,2025-03-07,Sim,Quente,Trial
L-7523,2025-01-14,Sim,Morno,Inativo
L-1088,2025-01-27,Nao,Frio,Trial
L-1583,2026-01-09,,Morno,Cancelado
L-8710,2025-01-19,,Frio,Ativo
L-9593,2025-08-06,Nao,Morno,Ativo
L-4863,2025-12-20,Nao,Morno,Trial
L-1227,2025-07-04,Nao,Frio,Cancelado
L-4191,2025-05-16,Sim,Quente,Ativo
L-9782,2025-03-17,Sim,Quente,Cancelado
L-6987,2025-06-12,Sim,Morno,Ativo
L-6290,2025-10-19,Nao,Frio,Trial
L-4635,2025-10-29,Nao,Frio,Trial
L-5167,2025-10-07,Nao,Frio,Trial
L-1038,2025-11-19,Nao,Morno,Trial
L-9613,2025-08-13,,Frio,Ativo
L-8165,2026-01-03,Nao,Frio,Trial
L-4857,2025-02-07,Nao,Frio,Ativo
L-9056,2025-04-13,Nao,Morno,Cancelado
L-2652,2025-07-27,Sim,Frio,Inativo
L-4184,2025-07-19,Sim,Quente,Ativo
L-7096,2026-01-20,Sim,Morno,Cancelado
L-1893,2025-05-18,Nao,Frio,Cancelado
L-9797,2025-12-23,Sim,Morno,Ativo
L-9305,2025-01-30,Nao,Morno,Trial
L-8963,2025-04-20,Nao,Morno,Trial
L-7771,2025-09-14,Nao,Frio,Inativo
L-3439,2025-11-13,Nao,Morno,Ativo
L-2513,2025-03-12,Sim,Quente,Trial
L-8505,2025-09-20,Sim,Quente,Trial
L-4677,2025-03-29,Sim,Quente,Inativo
L-9029,2025-12-19,,Quente,Trial
L-5821,2025-01-31,,Quente,Ativo
L-3781,2025-11-26,Nao,Frio,Cancelado
L-7997,2025-07-08,Sim,Quente,Cancelado
L-8101,2025-12-31,Nao,Morno,Ativo
L-1649,1900-01-01,,Morno,Cancelado
L-4187,2025-10-22,Sim,Quente,Inativo
L-9766,2025-05-29,,Frio,Trial
L-5403,2026-01-25,Sim,Quente,Ativo
L-4233,2025-03-31,Sim,Quente,Trial
L-9570,2025-07-22,Sim,Quente,Trial
L-1130,2025-01-20,Nao,Morno,Ativo
L-9666,2025-04-17,,Morno,Ativo
L-5530,2025-01-19,Nao,Morno,Cancelado
L-4650,2025-05-30,Sim,Frio,Trial
L-1878,2025-02-05,Sim,Quente,Ativo
L-8527,2026-01-19,Sim,Morno,Ativo
L-9771,2025-11-04,Sim,Quente,Cancelado
L-7833,2025-06-21,Sim,Morno,Ativo
L-2379,2025-02-07,Nao,Morno,Inativo
L-9102,2025-05-11,Nao,Morno,Ativo
L-9683,2025-01-27,Nao,Frio,Trial
L-7284,2026-01-23,,Frio,Ativo
L-7486,2025-12-14,Sim,Frio,Ativo
L-6579,2025-10-14,Sim,Quente,Trial
L-3288,2025-04-19,Nao,Frio,Trial
L-5696,2025-06-12,Nao,Frio,Cancelado
L-4778,2025-11-24,Sim,Frio,Cancelado
L-8768,2025-07-07,Nao,Frio,Cancelado
L-5001,2025-04-06,Nao,Frio,Ativo
L-4446,2025-05-21,Sim,Quente,Ativo
L-4780,2025-10-25,Sim,Quente,Cancelado
L-7372,2025-05-19,Sim,Morno,Ativo
L-4269,2025-03-06,Nao,Frio,Trial
L-7200,2025-12-23,Sim,Quente,Trial
L-7069,2025-10-04,Nao,Morno,Cancelado
L-7503,2025-05-01,,Morno,Inativo
L-8896,2025-10-30,Nao,Frio,Cancelado
L-8109,2025-06-06,Nao,Morno,Ativo
L-1223,2025-04-07,Nao,Morno,Cancelado
L-5802,2025-03-29,Nao,Morno,Ativo
L-3511,2025-10-14,Nao,Frio,Trial
L-5937,2025-05-27,Sim,Quente,Ativo
L-5576,2025-01-11,Sim,Morno,Inativo
L-3223,2025-12-12,,Frio,Ativo
L-2487,2025-01-06,Nao,Morno,Ativo
L-9424,2025-09-27,Nao,Frio,Trial
L-1347,2025-06-27,Nao,Frio,Ativo
L-2199,2025-09-10,Nao,Morno,Ativo
L-4862,2025-02-17,Nao,Quente,Ativo
L-8281,2025-05-13,Nao,Morno,Cancelado
L-7353,2025-05-02,Sim,Quente,Cancelado
L-1709,2025-10-18,Nao,Morno,Trial
L-3233,2025-11-21,Sim,Frio,Trial
L-5416,2025-01-21,Nao,Morno,Ativo
L-7133,2025-11-12,Nao,Morno,Trial
L-5245,2025-07-06,Nao,Quente,Trial
L-9846,2025-10-10,Nao,Frio,Ativo
L-7098,2025-09-23,Nao,Frio,Trial
L-2959,2025-04-25,,Quente,Ativo
L-3627,2026-01-24,Sim,Quente,Trial
L-7552,2025-05-02,Nao,Morno,Cancelado
L-7107,2025-01-22,Sim,Quente,Cancelado
L-4433,2025-02-22,Nao,Morno,Ativo
L-3175,2025-03-16,,Morno,Cancelado
L-7871,2025-08-16,Nao,Frio,Inativo
L-3627,2025-12-03,Sim,Morno,Inativo
L-3812,2025-05-08,Sim,Quente,Inativo
L-6014,2025-09-23,Nao,Frio,Inativo
L-4160,2025-11-09,Sim,Quente,Trial
L-2068,2025-05-31,Sim,Quente,Ativo
L-7086,2025-12-17,Sim,Quente,Ativo
L-2744,2025-12-17,Nao,Frio,Trial
L-4579,2025-03-26,Sim,Quente,Ativo
L-8582,2026-01-11,Nao,Quente,Cancelado
L-9224,2025-03-07,Nao,Frio,Trial
L-8352,2025-04-06,Sim,Morno,Cancelado
L-9609,2025-01-08,Nao,Morno,Ativo
L-8374,2025-10-24,Nao,Morno,Trial
L-9997,2025-10-03,Sim,Quente,Ativo
L-9733,2025-01-31,Nao,Frio,Cancelado
L-9852,2026-01-05,Nao,Frio,Trial
L-6089,2025-11-05,,Morno,Ativo
L-5180,2026-01-04,Nao,Morno,Ativo
L-1067,2025-10-02,Sim,Quente,Cancelado
L-2193,2025-06-24,Sim,Quente,Ativo
L-5372,2025-08-21,Sim,Quente,Ativo
L-6203,2025-02-21,Nao,Morno,Inativo
L-1096,2025-09-05,Sim,Frio,Ativo
L-1857,2025-08-21,Nao,Morno,Trial
L-5133,2025-01-15,Nao,Morno,Cancelado
L-8987,2025-10-24,Nao,Morno,Ativo
L-4092,2025-06-08,Nao,Frio,Cancelado
L-6820,2026-01-15,Sim,Quente,Trial
L-8343,2025-06-13,,Frio,Trial
L-5750,2025-02-06,,Frio,Trial
L-3805,2025-05-11,Sim,Quente,Ativo
L-9871,2026-01-08,,Morno,Cancelado
L-4302,2025-08-10,Sim,Frio,Cancelado
L-7268,2025-02-18,,Quente,Ativo
L-6545,2025-04-05,Sim,Quente,Cancelado
L-3453,2025-02-20,Nao,Frio,Ativo
L-8497,2025-02-01,Sim,Morno,Cancelado
L-9501,2025-08-21,Sim,Quente,Ativo
L-2321,1900-01-01,Nao,Quente,Trial
L-2296,2025-07-07,Sim,Quente,Inativo
L-2023,2025-04-20,Sim,Quente,Trial
L-2470,2025-01-23,,Morno,Trial
L-8216,1900-01-01,Sim,Quente,Trial
L-9973,2025-06-02,Sim,Frio,Ativo
L-5899,2025-08-22,Nao,Morno,Trial
L-6514,2025-01-07,Sim,Quente,Ativo
L-5903,2025-12-25,Nao,Frio,Ativo
L-7131,2025-05-06,Sim,Frio,Inativo
L-5630,2025-05-29,Sim,Morno,Ativo
L-4187,2025-10-19,Sim,Morno,Ativo
L-6758,2025-05-23,Sim,Morno,Cancelado
L-4610,2025-09-23,Sim,Morno,Ativo
L-5356,2025-03-08,Nao,Frio,Cancelado
L-1132,2025-06-23,Nao,Quente,Ativo
L-1297,2025-12-13,Nao,Morno,Ativo
L-5845,2025-07-29,,Morno,Trial
L-9687,2025-08-02,Nao,Frio,Ativo
L-6872,2025-12-28,Sim,Frio,Ativo
L-7678,2025-06-21,Nao,Frio,Trial
L-3558,2025-12-29,Nao,Morno,Cancelado
L-5985,2025-08-27,,Morno,Cancelado
L-1329,2026-01-01,Sim,Morno,Cancelado
L-7627,2025-08-27,Nao,Morno,Trial
L-8972,2025-07-11,Sim,Quente,Cancelado
L-4768,2025-07-30,Nao,Frio,Cancelado
L-5120,2025-06-23,,Morno,Ativo
L-4968,2025-07-06,Nao,Morno,Ativo
L-9510,2025-01-09,Sim,Morno,Cancelado
L-4851,2025-07-12,Nao,Morno,Ativo
L-2262,2025-02-27,Sim,Morno,Ativo
L-6188,2026-02-05,Sim,Frio,Trial
L-8504,2025-09-25,Nao,Morno,Ativo
L-3128,2025-02-21,Sim,Frio,Ativo
L-4206,2025-11-16,Nao,Morno,Ativo
L-8971,2025-08-08,Sim,Morno,Ativo
L-5717,2025-04-10,Sim,Frio,Ativo
L-9910,2025-06-20,Nao,Frio,Ativo
L-5808,2025-05-29,Sim,Quente,Trial
L-3931,2025-08-31,Sim,Frio,Cancelado
L-5292,2025-02-28,Nao,Frio,Ativo
L-1060,2025-03-02,Nao,Frio,Ativo
L-8954,2025-06-19,Nao,Morno,Ativo
L-1301,2025-10-07,,Frio,Trial
L-9756,2025-11-03,Nao,Morno,Cancelado
L-1710,2025-03-05,Sim,Quente,Ativo
L-3842,1900-01-01,Nao,Frio,Ativo
L-7285,2025-09-02,Nao,Morno,Trial
L-3631,2025-01-27,Nao,Morno,Cancelado
L-9207,2025-04-28,Nao,Frio,Cancelado
L-3385,2025-02-26,Nao,Morno,Cancelado
L-5642,2025-05-24,Sim,Morno,Ativo
L-6879,2025-03-29,,Frio,Ativo
L-8112,2025-08-28,Sim,Frio,Trial
L-5366,2025-03-22,Nao,Morno,Ativo
L-7026,2025-09-06,,Frio,Cancelado
L-6105,2025-10-11,Nao,Morno,Inativo
L-9647,2025-04-28,Nao,Frio,Ativo
L-8661,2025-03-26,,Frio,Ativo
L-1729,2025-10-08,Sim,Morno,Cancelado
L-1475,2025-03-13,Nao,Frio,Trial
L-9564,2026-01-18,Sim,Quente,Trial
L-1599,2025-02-16,Nao,Morno,Trial
L-8839,2025-03-17,Nao,Frio,Trial
L-4002,2025-12-27,Sim,Morno,Inativo
L-7704,2025-02-15,Sim,Morno,Trial
L-3752,2025-03-11,Sim,Morno,Ativo
L-8935,2025-05-26,Nao,Frio,Trial
L-8602,2025-09-11,Sim,Quente,Ativo
L-7133,2025-05-12,,Morno,Ativo
L-5074,2025-08-12,Nao,Morno,Ativo
L-7893,2025-10-02,Nao,Frio,Inativo
L-4908,2025-05-01,Nao,Morno,Trial
L-1050,2025-03-08,Sim,Quente,Cancelado
L-6578,2025-01-28,Nao,Frio,Trial
L-7811,2025-06-10,Sim,Quente,Ativo
L-9528,2026-01-14,Nao,Morno,Trial
L-6271,2025-07-18,Nao,Frio,Trial
L-9376,2025-06-04,Nao,Frio,Ativo
L-4696,2026-02-04,Nao,Frio,Cancelado
L-9478,2025-10-09,Nao,Morno,Cancelado
L-5843,2025-04-08,Nao,Frio,Ativo
L-3224,2025-03-08,Nao,Morno,Cancelado
L-5482,2025-09-26,Sim,Quente,Ativo
L-9787,2025-12-13,Sim,Quente,Ativo
L-8907,2025-10-05,Sim,Quente,Trial
L-1721,2026-01-28,,Frio,Cancelado
L-9381,2026-01-14,Nao,Morno,Inativo
L-5169,2026-01-17,Sim,Morno,Ativo
L-5985,2025-09-21,Sim,Morno,Ativo
L-8477,2025-04-09,,Morno,Trial
L-9419,2025-10-25,Sim,Quente,Cancelado
L-6402,2025-10-07,Sim,Morno,Ativo
L-5453,2025-06-22,Sim,Morno,Cancelado
L-2871,2025-04-21,Nao,Frio,Ativo
L-5894,2025-05-11,Sim,Quente,Ativo
L-1555,2025-01-09,Sim,Morno,Inativo
L-8840,2026-01-04,Nao,Morno,Ativo
L-5527,2025-09-06,Nao,Morno,Inativo
L-6840,1900-01-01,,Quente,Trial
L-9642,2025-10-02,Sim,Morno,Ativo
L-7351,2025-09-04,Nao,Frio,Trial
L-1455,2026-01-22,Nao,Morno,Ativo
L-3725,2026-01-09,Sim,Frio,Trial
L-6605,2025-08-09,Nao,Morno,Ativo
L-4911,2025-02-21,Nao,Frio,Trial
L-2152,2025-03-25,Nao,Morno,Ativo
L-8544,2025-01-28,Nao,Morno,Cancelado
L-7054,2025-11-04,Nao,Morno,Trial
L-4056,2025-06-08,Nao,Morno,Ativo
L-4507,2025-04-26,,Frio,Ativo
L-1562,2025-01-06,Sim,Quente,Ativo
L-6500,2025-12-05,,Frio,Ativo
L-8208,2025-12-11,Nao,Morno,Ativo
L-3659,2025-10-04,Sim,Morno,Ativo
L-9444,2025-03-11,,Frio,Trial
L-8570,2025-03-26,Sim,Quente,Cancelado
L-7963,2025-07-03,Nao,Morno,Trial
L-8949,2025-05-20,,Quente,Cancelado
L-6834,2025-06-27,Sim,Morno,Ativo
L-2007,2025-04-26,Nao,Frio,Ativo
L-8051,2025-08-10,Sim,Quente,Cancelado
L-2582,2025-10-21,Nao,Frio,Ativo
L-1302,2025-10-23,Sim,Quente,Cancelado
L-7745,2025-04-25,Nao,Frio,Cancelado
L-8348,2025-03-24,,Frio,Cancelado
L-3485,2025-06-26,Sim,Quente,Trial
L-2534,2025-09-12,Sim,Quente,Ativo
L-4909,2025-11-20,Nao,Morno,Cancelado
L-1689,2025-03-11,Sim,Quente,Cancelado
L-6314,2025-02-16,Sim,Morno,Trial
L-6961,2025-10-08,,Morno,Trial
L-7909,2025-06-20,Nao,Morno,Ativo
L-4419,2026-01-18,Sim,Quente,Ativo
L-5701,2025-07-30,Sim,Quente,Trial
L-2544,2025-02-23,Nao,Frio,Ativo
L-8192,2025-07-09,Sim,Quente,Cancelado
L-1187,2025-08-18,Sim,Quente,Ativo
L-6604,2025-12-27,Nao,Morno,Ativo
L-3593,2025-11-07,Sim,Frio,Trial
L-6824,2025-09-18,Nao,Frio,Ativo
L-2005,2025-12-04,Sim,Quente,Cancelado
L-6722,2026-02-04,Sim,Quente,Cancelado
L-3720,2025-04-11,Sim,Morno,Inativo
L-7928,2025-02-04,Nao,Frio,Cancelado
L-4445,2025-09-27,Nao,Frio,Ativo
L-1261,2025-04-15,Sim,Morno,Ativo
L-6147,2025-01-07,Nao,Morno,Trial
L-4504,2025-02-28,Sim,Quente,Cancelado
L-9058,2025-06-29,Sim,Morno,Ativo
L-6970,2025-04-30,,Frio,Trial
L-9355,2025-06-22,Sim,Morno,Ativo
L-1945,2025-10-20,Sim,Quente,Cancelado
L-8246,2025-02-16,Sim,Quente,Ativo
L-9796,2025-06-29,Nao,Morno,Cancelado
L-1027,2025-11-27,Nao,Frio,Ativo
L-1480,2025-11-04,Nao,Frio,Trial
L-9523,2025-04-01,Nao,Morno,Trial
L-5408,2025-01-29,Nao,Morno,Ativo
L-3073,2025-11-24,Nao,Frio,Cancelado
L-3924,2025-06-11,Sim,Quente,Cancelado
L-3057,2025-06-12,,Frio,Ativo
L-1742,2025-02-18,Sim,Morno,Ativo
L-2659,2025-06-17,Nao,Morno,Ativo
L-1463,2025-03-17,,Frio,Trial
L-4946,2025-08-16,Sim,Quente,Trial
L-5952,2025-11-26,Nao,Frio,Trial
L-1282,2025-04-28,Nao,Quente,Ativo
L-6734,2025-10-05,Sim,Quente,Inativo
L-4277,2025-11-18,Sim,Quente,Trial
L-2817,2025-12-28,Nao,Frio,Trial
L-1704,2025-06-10,Nao,Quente,Ativo
L-4890,2025-07-30,Nao,Morno,Inativo
L-6878,2025-05-06,Nao,Morno,Trial
L-7699,2025-06-26,Nao,Frio,Ativo
L-3150,2025-03-01,Sim,Morno,Ativo
L-5824,2025-10-27,Nao,Frio,Trial
L-6638,2025-03-01,,Morno,Ativo
L-8302,2026-01-13,Nao,Frio,Trial
L-3538,2025-09-24,Nao,Morno,Inativo
L-2497,2025-03-10,Sim,Quente,Trial
L-2030,2025-05-12,Sim,Frio,Ativo
L-4953,2025-09-03,Nao,Morno,Trial
L-5680,2025-04-21,Nao,Frio,Inativo
L-1871,2025-05-28,Nao,Frio,Ativo
L-2188,2026-01-11,Nao,Frio,Trial
L-3038,2025-02-16,Sim,Frio,Ativo
L-7924,2025-10-08,Sim,Morno,Inativo
L-4653,2025-06-29,Sim,Quente,Ativo
L-5384,2026-01-19,Nao,Frio,Ativo
L-9556,2025-10-13,Sim,Quente,Trial
L-9718,2025-06-02,Nao,Frio,Ativo
L-8654,2026-01-02,Nao,Morno,Ativo
L-2906,2025-10-25,,Morno,Ativo
L-9178,2025-08-13,Sim,Quente,Trial
L-2694,1900-01-01,Sim,Quente,Trial
L-6314,2025-06-07,Sim,Morno,Cancelado
L-4375,2025-05-08,Nao,Frio,Trial
L-4465,2026-01-30,Sim,Morno,Trial
L-7547,2025-04-01,Nao,Morno,Ativo
L-3519,2025-05-12,Nao,Morno,Cancelado
L-3975,2025-01-29,Nao,Frio,Ativo
L-6351,2025-11-13,Nao,Frio,Cancelado
L-2707,1900-01-01,Nao,Quente,Ativo
L-9668,2026-01-21,Sim,Quente,Ativo
L-1597,2025-04-21,Nao,Frio,Inativo
L-3139,2025-09-21,Nao,Quente,Cancelado
L-3520,2025-12-07,Nao,Quente,Ativo
L-3367,2025-05-07,Nao,Morno,Cancelado
L-2596,2025-10-11,Nao,Morno,Ativo
L-5635,2025-12-03,Sim,Morno,Trial
L-5693,2025-06-19,Nao,Morno,Trial
L-2850,2025-07-04,Sim,Morno,Trial
L-7553,2025-07-15,Nao,Frio,Trial
L-6653,2025-09-05,Sim,Quente,Ativo
L-9993,2026-01-25,Nao,Frio,Trial
L-5148,2025-12-28,Nao,Frio,Inativo
L-4683,2025-12-07,Nao,Quente,Inativo
L-3510,2025-03-06,Nao,Morno,Ativo
L-1415,2025-06-11,Nao,Frio,Ativo
L-7451,2025-01-12,Nao,Morno,Ativo
L-2244,2025-06-02,Nao,Frio,Trial
L-3903,2025-01-17,Sim,Quente,Ativo
L-9139,2025-05-29,Sim,Quente,Inativo
L-2665,2025-11-15,Nao,Morno,Trial
L-3659,2025-02-22,Nao,Morno,Cancelado
L-2684,2025-05-12,Nao,Frio,Trial
L-5201,2025-08-21,Nao,Frio,Ativo
L-9067,2025-03-20,Nao,Morno,Trial
L-4206,2025-02-14,Sim,Quente,Trial
L-6240,2025-04-02,Sim,Morno,Trial
L-7736,2025-12-10,Nao,Frio,Cancelado
L-6574,2025-12-01,Sim,Quente,Trial
L-3087,2025-10-25,Nao,Morno,Cancelado
L-5985,2025-08-22,Nao,Morno,Ativo
L-8412,2026-01-29,Nao,Frio,Ativo
L-2419,2025-08-03,Nao,Frio,Ativo
L-5414,2025-04-20,Sim,Quente,Ativo
L-3547,2025-07-24,Nao,Frio,Inativo
L-8577,2025-02-24,Sim,Morno,Trial
L-3110,2025-01-11,,Morno,Ativo
L-2141,2025-12-04,Nao,Frio,Trial
L-1734,2025-06-23,Sim,Quente,Inativo
L-8465,2025-06-09,,Frio,Trial
L-6189,2025-12-08,Nao,Frio,Cancelado
L-2016,2025-03-26,Nao,Morno,Ativo
L-6040,2025-10-22,Nao,Morno,Cancelado
L-8817,2025-11-02,Nao,Morno,Ativo
L-6199,2025-12-21,Sim,Quente,Trial
L-4620,2026-01-15,Nao,Morno,Ativo
L-8878,2025-01-05,Sim,Quente,Cancelado
L-2020,1900-01-01,Nao,Frio,Cancelado
L-7868,2025-07-05,Nao,Quente,Ativo
L-2395,2025-12-18,Nao,Morno,Trial
L-9333,2025-09-17,Sim,Quente,Ativo
L-7884,1900-01-01,Nao,Frio,Trial
L-3375,2025-01-10,Nao,Frio,Trial
L-8846,2025-01-07,Nao,Morno,Ativo
L-9696,2025-05-31,Nao,Morno,Trial
L-8541,2025-05-05,Nao,Frio,Ativo
L-5882,2025-10-09,Nao,Morno,Trial
L-8309,2025-11-15,Sim,Frio,Ativo
L-6950,2025-03-23,Sim,Morno,Cancelado
L-5395,2025-04-11,Nao,Morno,Trial
L-8380,2025-11-24,Nao,Morno,Cancelado
L-2883,2026-01-27,,Frio,Ativo
L-9294,2025-01-04,Nao,Frio,Trial
L-7964,2025-04-24,Nao,Morno,Ativo
L-5681,2025-07-16,Sim,Quente,Ativo
L-4216,2025-12-25,Nao,Frio,Inativo
L-4415,2025-12-29,Sim,Quente,Trial
L-8651,2025-07-24,Nao,Frio,Cancelado
L-8370,2025-07-29,Nao,Morno,Cancelado
L-8604,2025-08-24,Sim,Quente,Cancelado
L-6869,2025-05-22,Nao,Morno,Inativo
L-6466,2025-07-29,Nao,Morno,Ativo
L-1531,2025-07-20,Nao,Quente,Ativo
L-8645,2025-01-07,Sim,Quente,Ativo
L-3415,2025-02-15,Nao,Morno,Trial
L-3574,2025-02-05,Sim,Quente,Inativo
L-2329,2025-07-24,,Quente,Inativo
L-5112,2025-05-21,Nao,Morno,Ativo
L-5168,2025-03-16,Sim,Quente,Trial
L-6459,2025-12-12,Nao,Quente,Trial
L-6739,2025-06-10,,Frio,Trial
L-2031,2025-02-18,Nao,Frio,Inativo
L-5502,2025-04-15,Nao,Morno,Trial
L-6569,2025-04-30,Nao,Frio,Inativo
L-1480,2025-02-27,Nao,Morno,Ativo
L-8617,2025-11-02,Sim,Quente,Ativo
L-2500,2025-12-26,Nao,Morno,Cancelado
L-3856,2025-11-09,Nao,Morno,Ativo
L-6263,2026-01-05,,Frio,Trial
L-5034,2025-06-22,Nao,Morno,Ativo
L-4156,2025-01-30,Nao,Morno,Ativo
L-6740,2025-08-18,Sim,Quente,Cancelado
L-5380,2025-06-15,Sim,Quente,Trial
L-9829,2025-02-23,Sim,Quente,Cancelado
L-2136,2025-03-02,Nao,Frio,Ativo
L-9636,2025-02-16,Sim,Morno,Ativo
L-8883,2025-10-11,Sim,Quente,Ativo
L-3426,2025-07-14,Sim,Morno,Trial
L-8633,2025-04-03,Nao,Morno,Inativo
L-1608,2025-05-03,Nao,Morno,Cancelado
L-7390,2025-07-18,Nao,Frio,Ativo
L-9719,2025-09-18,Nao,Frio,Inativo
L-2849,2025-11-06,Nao,Frio,Trial
L-5081,2025-09-09,Nao,Morno,Cancelado
L-9790,2025-06-29,Sim,Quente,Trial
L-2893,2026-01-30,,Frio,Ativo
L-8003,2025-11-25,Nao,Frio,Inativo
L-9164,2025-09-18,Nao,Morno,Trial
L-2482,2025-08-05,Nao,Morno,Ativo
L-9915,1900-01-01,Nao,Frio,Inativo
L-5021,2025-07-18,,Frio,Ativo
L-8595,2026-01-16,Sim,Quente,Cancelado
L-4686,2025-06-01,Nao,Quente,Trial
L-4061,2025-11-03,Sim,Frio,Ativo
L-8836,2026-01-14,Nao,Quente,Ativo
L-8296,2025-08-28,Nao,Morno,Cancelado
L-6309,2025-12-08,Sim,Morno,Cancelado
L-1807,2025-08-12,Sim,Morno,Trial
L-9356,2025-05-08,Nao,Quente,Trial
L-2875,2025-12-02,Nao,Frio,Ativo
L-5411,2025-06-22,Sim,Quente,Ativo
L-8834,2025-02-11,Nao,Frio,Ativo
L-1273,2026-01-10,Nao,Morno,Ativo
L-2966,2025-04-28,Sim,Morno,Cancelado
L-5342,2025-09-04,Nao,Quente,Cancelado
L-6365,2025-06-13,Sim,Quente,Cancelado
L-9520,2025-08-21,Sim,Morno,Ativo
L-7834,2025-12-03,Sim,Quente,Ativo
L-5888,2025-09-20,Sim,Quente,Trial
L-9588,2025-04-27,Sim,Quente,Ativo
L-9940,2025-05-12,Sim,Quente,Cancelado
L-7951,2025-07-30,Sim,Quente,Ativo
L-7532,2025-07-21,Nao,Morno,Ativo
L-1514,2026-01-18,Nao,Morno,Ativo
L-5823,2025-09-06,Sim,Quente,Cancelado
L-3273,2025-02-23,Sim,Quente,Ativo
L-4751,2025-12-15,,Frio,Cancelado
L-9017,1900-01-01,Sim,Quente,Inativo
L-5482,2026-01-04,,Morno,Cancelado
L-1943,2025-11-03,Nao,Morno,Ativo
L-8605,2026-02-04,Nao,Morno,Trial
L-5621,2025-07-07,Sim,Quente,Trial
L-6354,2025-08-28,Sim,Quente,Trial
L-7728,2025-09-27,Nao,Morno,Trial
L-3032,2025-10-15,Sim,Frio,Inativo
L-7506,2025-02-26,Nao,Quente,Ativo
L-1333,2026-01-05,Nao,Frio,Trial
L-7131,2025-12-25,Nao,Frio,Ativo
L-9109,2025-01-29,Sim,Quente,Ativo
L-6136,2025-05-26,,Morno,Trial
L-2663,2025-07-11,Nao,Frio,Cancelado
L-4452,2025-03-10,Nao,Morno,Inativo
L-7335,2025-08-31,Sim,Quente,Cancelado
L-1133,2026-01-20,Nao,Frio,Cancelado
L-3313,2025-01-23,Sim,Quente,Ativo
L-6222,2025-04-27,,Frio,Ativo
L-7150,2025-03-08,Sim,Quente,Cancelado
L-2558,2025-04-01,Nao,Morno,Trial
L-2745,2026-01-22,,Frio,Ativo
L-7859,2025-12-04,Sim,Morno,Ativo
L-7671,2025-10-27,,Quente,Cancelado
L-1090,2025-11-19,,Morno,Cancelado
L-1712,2025-12-14,Sim,Quente,Inativo
L-1375,2025-08-14,Nao,Frio,Trial
L-5673,2025-09-11,Sim,Morno,Ativo
L-3037,2025-09-16,,Morno,Trial
L-2273,2025-10-20,Nao,Frio,Cancelado
L-1645,2026-01-01,Nao,Frio,Trial
L-8540,2025-04-02,Sim,Quente,Ativo
L-7709,2025-06-01,Sim,Quente,Ativo
L-6260,2025-04-22,Sim,Quente,Trial
L-5622,2025-05-14,Nao,Frio,Ativo
L-1664,2025-01-21,Sim,Quente,Inativo
L-6777,2025-10-30,Sim,Morno,Ativo
L-3943,2025-10-08,,Frio,Trial
L-3195,2025-05-25,Nao,Quente,Ativo
L-9142,2025-06-29,Nao,Frio,Ativo
L-4340,2025-11-10,Nao,Morno,Cancelado
L-3867,2025-02-02,Nao,Morno,Trial
L-2468,2025-10-13,Sim,Quente,Cancelado
L-8058,2025-11-11,Nao,Morno,Trial
L-8821,2025-02-10,Nao,Frio,Ativo
L-4015,2025-01-18,Sim,Quente,Ativo
L-1677,2025-11-25,Nao,Morno,Trial
L-1621,2025-02-27,Nao,Frio,Ativo
L-1659,2025-09-04,Nao,Frio,Ativo
L-7930,2026-02-03,Nao,Frio,Ativo
L-4663,2025-08-15,Nao,Frio,Ativo
L-3819,2026-01-17,Nao,Frio,Inativo
L-9615,2025-07-11,Sim,Quente,Cancelado
L-7999,2025-09-15,Sim,Quente,Cancelado
L-9954,2025-03-30,Nao,Morno,Cancelado
L-6783,2025-08-18,Nao,Morno,Ativo
L-1749,2025-09-28,Nao,Morno,Trial
L-1092,2025-03-12,Nao,Morno,Ativo
L-1745,2025-07-22,Nao,Frio,Trial
L-1096,2025-04-27,Nao,Quente,Trial
L-4262,2025-02-14,Sim,Quente,Ativo
L-9985,2025-02-07,Nao,Frio,Ativo
